key_value,flight_number,airline,flight_date,STD,Departure,ARRIVAL,IO
33397,7C801,제주항공,2024-08-16,11:15:00,청주,제주,출발
33398,7C851,제주항공,2024-08-16,9:55:00,청주,제주,출발
33399,7C853,제주항공,2024-08-16,19:20:00,청주,제주,출발
33400,7C855,제주항공,2024-08-16,18:55:00,청주,제주,출발
33401,7C859,제주항공,2024-08-16,6:00:00,청주,제주,출발
33402,HO1654,길상항공(준야오),2024-08-16,20:50:00,청주,타이유안/타이위안,출발
33403,KE1707,대한항공,2024-08-16,9:15:00,청주,제주,출발
33404,KE1717,대한항공,2024-08-16,14:05:00,청주,제주,출발
33405,KE1725,대한항공,2024-08-16,17:20:00,청주,제주,출발
33406,LJ401,진에어,2024-08-16,7:20:00,청주,제주,출발
33407,LJ403,진에어,2024-08-16,11:35:00,청주,제주,출발
33408,LJ407,진에어,2024-08-16,16:05:00,청주,제주,출발
33409,LJ409,진에어,2024-08-16,17:25:00,청주,제주,출발
33410,LJ411,진에어,2024-08-16,19:15:00,청주,제주,출발
33411,OZ8231,아시아나항공,2024-08-16,6:50:00,청주,제주,출발
33412,OZ8233,아시아나항공,2024-08-16,12:55:00,청주,제주,출발
33413,OZ8235,아시아나항공,2024-08-16,17:10:00,청주,제주,출발
33414,RF312,에어로케이항공,2024-08-16,8:15:00,청주,오사카/간사이,출발
33415,RF318,에어로케이항공,2024-08-16,15:50:00,청주,오사카/간사이,출발
33416,RF322,에어로케이항공,2024-08-16,9:30:00,청주,도쿄/나리타,출발
33417,RF324,에어로케이항공,2024-08-16,16:40:00,청주,도쿄/나리타,출발
33418,RF421,에어로케이항공,2024-08-16,21:35:00,청주,울란바토르/칭기스칸,출발
33419,RF511,에어로케이항공,2024-08-16,10:45:00,청주,타이페이/타오위안,출발
33420,RF527,에어로케이항공,2024-08-16,22:50:00,청주,마닐라,출발
33421,RF531,에어로케이항공,2024-08-16,20:55:00,청주,다낭,출발
33422,RF601,에어로케이항공,2024-08-16,8:20:00,청주,제주,출발
33423,RF609,에어로케이항공,2024-08-16,14:55:00,청주,제주,출발
33424,RF613,에어로케이항공,2024-08-16,18:45:00,청주,제주,출발
33425,TW155,티웨이항공,2024-08-16,21:40:00,청주,나트랑,출발
33426,TW181,티웨이항공,2024-08-16,21:00:00,청주,다낭,출발
33427,TW183,티웨이항공,2024-08-16,19:25:00,청주,방콕/돈므앙,출발
33428,TW247,티웨이항공,2024-08-16,17:40:00,청주,후쿠오카,출발
33429,TW249,티웨이항공,2024-08-16,10:05:00,청주,오사카/간사이,출발
33430,TW685,티웨이항공,2024-08-16,11:30:00,청주,연길/옌지,출발
33431,TW873,티웨이항공,2024-08-16,13:20:00,청주,제주,출발
33432,TW875,티웨이항공,2024-08-16,15:55:00,청주,제주,출발
33433,TW9871,티웨이항공,2024-08-16,8:55:00,청주,제주,출발
33434,TW9873,티웨이항공,2024-08-16,9:25:00,청주,제주,출발
33435,TW9875,티웨이항공,2024-08-16,12:50:00,청주,제주,출발
33436,ZE701,이스타항공,2024-08-16,7:45:00,청주,제주,출발
33437,ZE703,이스타항공,2024-08-16,17:05:00,청주,제주,출발
33438,ZE705,이스타항공,2024-08-16,20:35:00,청주,제주,출발
33439,ZE709,이스타항공,2024-08-16,11:00:00,청주,제주,출발
33440,ZE713,이스타항공,2024-08-16,6:35:00,청주,제주,출발
33441,ZE781,이스타항공,2024-08-16,23:40:00,청주,타이페이/타오위안,출발
33442,ZE781A,이스타항공,2024-08-16,0:05:00,청주,타이페이/타오위안,출발
33443,ZE831,이스타항공,2024-08-16,13:30:00,청주,연길/옌지,출발
33444,7C102,제주항공,2024-08-16,7:40:00,제주,서울/김포,출발
33445,7C104,제주항공,2024-08-16,8:45:00,제주,서울/김포,출발
33446,7C106,제주항공,2024-08-16,9:45:00,제주,서울/김포,출발
33447,7C108,제주항공,2024-08-16,10:10:00,제주,서울/김포,출발
33448,7C110,제주항공,2024-08-16,10:50:00,제주,서울/김포,출발
33449,7C112,제주항공,2024-08-16,11:15:00,제주,서울/김포,출발
33450,7C114,제주항공,2024-08-16,11:40:00,제주,서울/김포,출발
33451,7C116,제주항공,2024-08-16,11:50:00,제주,서울/김포,출발
33452,7C118,제주항공,2024-08-16,12:20:00,제주,서울/김포,출발
33453,7C120,제주항공,2024-08-16,13:25:00,제주,서울/김포,출발
33454,7C122,제주항공,2024-08-16,14:00:00,제주,서울/김포,출발
33455,7C124,제주항공,2024-08-16,15:00:00,제주,서울/김포,출발
33456,7C126,제주항공,2024-08-16,16:25:00,제주,서울/김포,출발
33457,7C128,제주항공,2024-08-16,17:20:00,제주,서울/김포,출발
33458,7C130,제주항공,2024-08-16,17:55:00,제주,서울/김포,출발
33459,7C132,제주항공,2024-08-16,18:40:00,제주,서울/김포,출발
33460,7C134,제주항공,2024-08-16,20:00:00,제주,서울/김포,출발
33461,7C136,제주항공,2024-08-16,20:50:00,제주,서울/김포,출발
33462,7C138,제주항공,2024-08-16,21:05:00,제주,서울/김포,출발
33463,7C140,제주항공,2024-08-16,21:10:00,제주,서울/김포,출발
33464,7C142,제주항공,2024-08-16,21:20:00,제주,서울/김포,출발
33465,7C504,제주항공,2024-08-16,10:45:00,제주,부산/김해,출발
33466,7C506,제주항공,2024-08-16,13:00:00,제주,부산/김해,출발
33467,7C508,제주항공,2024-08-16,14:05:00,제주,부산/김해,출발
33468,7C510,제주항공,2024-08-16,15:20:00,제주,부산/김해,출발
33469,7C514,제주항공,2024-08-16,18:35:00,제주,부산/김해,출발
33470,7C516,제주항공,2024-08-16,20:05:00,제주,부산/김해,출발
33471,7C602,제주항공,2024-08-16,8:20:00,제주,광주,출발
33472,7C606,제주항공,2024-08-16,16:50:00,제주,광주,출발
33473,7C704,제주항공,2024-08-16,14:20:00,제주,대구,출발
33474,7C706,제주항공,2024-08-16,17:45:00,제주,대구,출발
33475,7C802,제주항공,2024-08-16,9:35:00,제주,청주,출발
33476,7C8133,제주항공,2024-08-16,22:40:00,제주,베이징/서우두,출발
33477,7C8135,제주항공,2024-08-16,11:45:00,제주,베이징/다싱,출발
33478,7C8175,제주항공,2024-08-16,21:30:00,제주,시안,출발
33479,7C850A,제주항공,2024-08-16,23:15:00,제주,청주,출발
33480,7C852,제주항공,2024-08-16,8:10:00,제주,청주,출발
33481,7C854,제주항공,2024-08-16,17:30:00,제주,청주,출발
33482,7C856,제주항공,2024-08-16,17:10:00,제주,청주,출발
33483,9C6106,춘추항공,2024-08-16,21:35:00,제주,광저우,출발
33484,9C6150,춘추항공,2024-08-16,7:30:00,제주,난징(남경)/난징,출발
33485,9C6946,춘추항공,2024-08-16,7:30:00,제주,상하이/푸동,출발
33486,9C7206,춘추항공,2024-08-16,7:25:00,제주,베이징/다싱,출발
